medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Paracetamol 500 sanofi aventis b/100x10;-467;56 CFA;98 CFA;19/09/2023;SANS TABLEAU;Antalgique Antipyretique;Suppositoires;;;;;;;
Alzol B/1 cp ;-413;503 CFA;737 CFA;19/09/2023;Liste II;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Bande de gaze 10cmx4.5m b/12;-198;93 CFA;173 CFA;19/09/2023;LISTE II;;;;;;;;;
Genforte cp b/10x10;-93;609 CFA;896 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Vit b denk  b1/00 detail;-87;525 CFA;738 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Flucogen sp;-34;1?981 CFA;2?825 CFA;18/09/2023;;;Sirops;;;;;;;
Para co-denk 500mg/30mg cpr b/20;-32;3?556 CFA;5?039 CFA;05/09/2023;;;Comprimes Gelules;;;;;;;
Stopalgic 1g cp b/400;-29;192 CFA;309 CFA;19/09/2023;ST;;Comprimes Gelules;;;;;;;
Epicran 5/10 25G orange;-26;59 CFA;120 CFA;14/09/2023;LISTE II;;;;;;;;;
Flubenda GH100mg cp b/6;-25;1?246 CFA;1?781 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Efferalgan vit c cp eff b/20;-23;851 CFA;1?226 CFA;14/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Astaph 250mg sirop fl/60ml;-18;2?000 CFA;2?852 CFA;19/09/2023;LISTE I;;Sirops;;;;;;;
Amoxiclav denk 500 cp;-18;1?500 CFA;2?149 CFA;16/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Polyfresh coll;-17;2?415 CFA;3?395 CFA;19/09/2023;SANS TABLEAU;;Collyres;;;;;;;
Vermox 500mg cp B/1;-17;844 CFA;1?216 CFA;19/09/2023;LISTE II;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Richfer sp;-14;2?540 CFA;3?601 CFA;19/09/2023;LISTE II;;Sirops;;;;;;;
Rifamycine pom opht T/5g;-13;0 CFA;40 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien;Pommades ophtalmiques;;;;;;;
Pervital sp Fl/125ml;-11;1?565 CFA;2?200 CFA;14/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops;;;;;;;
Nurabol 4mg cp bte/30;-10;1?037 CFA;1?458 CFA;11/09/2023;SANS TABLEAU;Antianemique ;Comprimes Gelules;;;;;;;
Theralene sp Fl/150ml;-10;659 CFA;926 CFA;19/09/2023;SANS TABLEAU;Antitussif Antihistaminique Sedatif;Sirops;;;;;;;
Avamys ;-9;1?659 CFA;2?372 CFA;10/08/2023;LISTE I;;Gouttes nasales;;;;;;;
Lerin cp;-9;2?181 CFA;3?106 CFA;12/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
